Record_ID,Date,Year,Month,State,District,Wave,Variant,Population,Daily_Tests,Daily_Confirmed_Cases,Daily_Recoveries,Daily_Deaths,Active_Cases,Vaccination_Dose1,Vaccination_Dose2,Vaccination_Booster,Hospital_Beds_Occupied,ICU_Occupancy_Rate,Stringency_Index
REC000013,2020-03-01,2020,March,West Bengal,Asansol,Wave 1,Original,677721,173,8,0,0,8,0,0,0,1,9.85,63.2
REC000014,2020-03-01,2020,March,West Bengal,Bardhaman,Wave 1,Original,1629488,404,21,0,0,21,0,0,0,3,12.28,63.5
REC000015,2020-03-02,2020,March,Delhi,Central Delhi,Wave 1,Original,2156120,543,23,2,0,55,0,0,0,8,9.65,71.4
REC000016,2020-03-02,2020,March,Delhi,New Delhi,Wave 1,Original,4773510,1286,64,4,1,128,0,0,0,19,12.46,63.7
REC000017,2020-03-02,2020,March,Haryana,Panipat,Wave 1,Original,537417,129,6,0,0,12,0,0,0,1,9.61,61.6
REC000018,2020-03-02,2020,March,Karnataka,Bengaluru Urban,Wave 1,Original,11557734,2840,120,10,2,265,0,0,0,39,10.8,67.7
REC000019,2020-03-02,2020,March,Kerala,Kochi,Wave 1,Original,809029,189,9,1,0,20,0,0,0,3,9.55,66.2
REC000020,2020-03-02,2020,March,Kerala,Thiruvananthapuram,Wave 1,Original,3351378,845,46,3,0,79,0,0,0,11,11.94,63.9
REC000021,2020-03-02,2020,March,Rajasthan,Jaipur,Wave 1,Original,4033757,977,48,4,1,102,0,0,0,15,11.56,62.2
REC000022,2020-03-02,2020,March,Telangana,Warangal,Wave 1,Original,1848575,507,22,1,0,42,0,0,0,6,11.28,64.0
REC000023,2020-03-02,2020,March,Uttar Pradesh,Agra,Wave 1,Original,2147256,520,28,2,0,52,0,0,0,7,9.65,65.5
REC000024,2020-03-02,2020,March,West Bengal,Siliguri,Wave 1,Original,1738076,408,17,1,0,38,0,0,0,5,12.39,58.8
REC000025,2020-03-03,2020,March,Bihar,Darbhanga,Wave 1,Original,994353,279,14,1,0,37,0,0,0,5,11.35,60.4
REC000026,2020-03-03,2020,March,Bihar,Patna,Wave 1,Original,3388821,798,43,4,1,113,0,0,0,17,9.86,58.0
REC000027,2020-03-03,2020,March,Gujarat,Ahmedabad,Wave 1,Original,11724621,3370,174,15,4,439,0,0,0,66,12.6,69.3
REC000028,2020-03-03,2020,March,Gujarat,Vadodara,Wave 1,Original,898167,277,13,1,0,34,0,0,0,5,12.06,65.8
REC000029,2020-03-03,2020,March,Karnataka,Hubballi,Wave 1,Original,728589,174,8,1,0,24,0,0,0,3,10.94,65.5
REC000030,2020-03-03,2020,March,Kerala,Kozhikode,Wave 1,Original,565844,163,8,1,0,21,0,0,0,3,12.64,67.5
REC000031,2020-03-03,2020,March,Odisha,Berhampur,Wave 1,Original,1186873,288,14,2,0,40,0,0,0,6,10.22,67.2
REC000032,2020-03-03,2020,March,Odisha,Bhubaneswar,Wave 1,Original,3693499,899,41,6,1,120,0,0,0,18,10.26,64.5
REC000033,2020-03-03,2020,March,Punjab,Bathinda,Wave 1,Original,1323807,327,15,2,0,47,0,0,0,7,10.33,66.4
REC000034,2020-03-03,2020,March,Punjab,Ludhiana,Wave 1,Original,4207257,1009,48,7,2,151,0,0,0,22,11.33,63.6
REC000035,2020-03-03,2020,March,Rajasthan,Ajmer,Wave 1,Original,1055030,270,12,2,0,35,0,0,0,5,11.71,61.7
REC000036,2020-03-03,2020,March,Rajasthan,Jaipur,Wave 1,Original,4033757,1112,56,6,1,151,0,0,0,22,12.26,60.4
REC000037,2020-03-03,2020,March,Tamil Nadu,Salem,Wave 1,Original,1381772,388,20,2,0,50,0,0,0,7,10.29,67.0
REC000038,2020-03-03,2020,March,Telangana,Warangal,Wave 1,Original,1848575,430,21,3,1,59,0,0,0,8,10.14,64.5
REC000039,2020-03-03,2020,March,Uttar Pradesh,Kanpur,Wave 1,Original,1038146,286,12,2,0,40,0,0,0,6,11.6,69.3
REC000040,2020-03-03,2020,March,West Bengal,Durgapur,Wave 1,Original,1383825,343,16,2,0,50,0,0,0,7,11.68,66.2
REC000041,2020-03-04,2020,March,Gujarat,Rajkot,Wave 1,Original,1536995,399,16,3,1,66,0,0,0,9,9.8,64.7
REC000042,2020-03-04,2020,March,Haryana,Faridabad,Wave 1,Original,1066827,304,15,3,1,53,0,0,0,7,11.02,69.0
REC000043,2020-03-04,2020,March,Kerala,Kollam,Wave 1,Original,1998201,482,21,4,1,90,0,0,0,13,11.43,63.2
REC000044,2020-03-04,2020,March,Maharashtra,Nagpur,Wave 1,Original,1578228,487,24,3,1,76,0,0,0,11,11.93,67.7
REC000045,2020-03-04,2020,March,Maharashtra,Pune,Wave 1,Original,10965604,3164,167,33,7,584,0,0,0,87,11.3,68.8
REC000046,2020-03-04,2020,March,Odisha,Puri,Wave 1,Original,1898820,577,26,4,1,86,0,0,0,12,12.1,64.0
REC000047,2020-03-04,2020,March,Punjab,Bathinda,Wave 1,Original,1323807,385,21,3,1,64,0,0,0,9,12.32,62.6
REC000048,2020-03-04,2020,March,Tamil Nadu,Chennai,Wave 1,Original,11034107,2863,135,29,5,494,0,0,0,74,12.22,69.7
REC000049,2020-03-04,2020,March,Tamil Nadu,Madurai,Wave 1,Original,1124345,271,12,2,0,52,0,0,0,7,12.28,62.5
REC000050,2020-03-04,2020,March,Tamil Nadu,Trichy,Wave 1,Original,1880970,532,29,4,1,94,0,0,0,14,12.26,61.5
REC000051,2020-03-04,2020,March,Telangana,Khammam,Wave 1,Original,2016557,575,31,4,1,92,0,0,0,13,10.72,60.6
REC000052,2020-03-05,2020,March,Delhi,Central Delhi,Wave 1,Original,2156120,534,25,6,1,115,0,0,0,17,12.41,66.2
REC000053,2020-03-05,2020,March,Delhi,East Delhi,Wave 1,Original,569519,133,6,2,0,29,0,0,0,4,9.68,62.1
REC000054,2020-03-05,2020,March,Madhya Pradesh,Ujjain,Wave 1,Original,1139530,274,12,3,1,66,0,0,0,9,10.1,64.5
REC000055,2020-03-05,2020,March,Maharashtra,Mumbai,Wave 1,Original,4803258,1444,65,13,2,280,0,0,0,42,10.38,66.7
REC000056,2020-03-05,2020,March,Maharashtra,Pune,Wave 1,Original,10965604,2684,150,40,7,687,0,0,0,103,12.05,67.1
REC000057,2020-03-05,2020,March,Maharashtra,Thane,Wave 1,Original,1179427,364,17,3,1,67,0,0,0,10,9.86,61.2
REC000058,2020-03-05,2020,March,Rajasthan,Jaipur,Wave 1,Original,4033757,1196,64,11,3,246,0,0,0,37,10.58,62.5
REC000059,2020-03-05,2020,March,Tamil Nadu,Coimbatore,Wave 1,Original,1558957,361,16,4,1,79,0,0,0,11,9.88,61.5
REC000060,2020-03-05,2020,March,Uttar Pradesh,Lucknow,Wave 1,Original,4101568,1137,48,14,2,225,0,0,0,33,9.94,68.5
REC000061,2020-03-06,2020,March,Bihar,Darbhanga,Wave 1,Original,994353,259,13,4,1,64,0,0,0,9,12.21,65.1
REC000062,2020-03-06,2020,March,Bihar,Gaya,Wave 1,Original,633858,150,7,2,0,40,0,0,0,6,9.89,63.6
REC000063,2020-03-06,2020,March,Bihar,Muzaffarpur,Wave 1,Original,1256268,382,19,5,1,82,0,0,0,12,9.54,70.6
REC000064,2020-03-06,2020,March,Bihar,Patna,Wave 1,Original,3388821,874,48,13,3,214,0,0,0,32,11.33,65.8
REC000065,2020-03-06,2020,March,Delhi,New Delhi,Wave 1,Original,4773510,1407,65,16,3,316,0,0,0,47,10.02,70.3
REC000066,2020-03-06,2020,March,Kerala,Kozhikode,Wave 1,Original,565844,145,7,2,0,37,0,0,0,5,10.24,61.1
REC000067,2020-03-06,2020,March,Maharashtra,Nagpur,Wave 1,Original,1578228,425,18,5,1,101,0,0,0,15,10.35,57.6
REC000068,2020-03-06,2020,March,Punjab,Jalandhar,Wave 1,Original,1691459,400,22,5,1,98,0,0,0,14,12.4,62.1
REC000069,2020-03-06,2020,March,Punjab,Patiala,Wave 1,Original,1814915,452,25,5,2,126,0,0,0,18,10.75,61.5
REC000070,2020-03-06,2020,March,Tamil Nadu,Chennai,Wave 1,Original,11034107,3113,136,39,7,678,0,0,0,102,11.29,63.9
REC000071,2020-03-06,2020,March,Tamil Nadu,Trichy,Wave 1,Original,1880970,563,31,8,1,139,0,0,0,20,10.22,66.0
REC000072,2020-03-06,2020,March,Telangana,Nizamabad,Wave 1,Original,1915045,462,22,7,2,126,0,0,0,18,11.67,65.9
REC000073,2020-03-06,2020,March,Telangana,Warangal,Wave 1,Original,1848575,554,29,5,1,121,0,0,0,18,9.6,62.0
REC000074,2020-03-06,2020,March,West Bengal,Howrah,Wave 1,Original,478846,129,5,2,0,33,0,0,0,4,10.85,63.7
REC000075,2020-03-06,2020,March,West Bengal,Kolkata,Wave 1,Original,8480123,2016,102,25,5,539,0,0,0,81,12.47,68.6
REC000076,2020-03-07,2020,March,Assam,Dibrugarh,Wave 1,Original,1660477,387,17,7,2,110,0,0,0,16,12.29,68.4
REC000077,2020-03-07,2020,March,Assam,Silchar,Wave 1,Original,575007,152,7,3,1,40,0,0,0,6,11.87,68.3
REC000078,2020-03-07,2020,March,Bihar,Purnia,Wave 1,Original,808436,237,13,3,1,60,0,0,0,9,9.68,64.0
REC000079,2020-03-07,2020,March,Haryana,Panipat,Wave 1,Original,537417,148,6,2,0,36,0,0,0,5,10.25,70.0
REC000080,2020-03-07,2020,March,Haryana,Rohtak,Wave 1,Original,1832223,472,25,7,2,135,0,0,0,20,12.06,64.7
REC000081,2020-03-07,2020,March,Karnataka,Bengaluru Urban,Wave 1,Original,11557734,3430,154,37,9,780,0,0,0,117,10.67,63.0
REC000082,2020-03-07,2020,March,Kerala,Kannur,Wave 1,Original,514871,126,5,2,0,34,0,0,0,5,12.62,64.2
REC000083,2020-03-07,2020,March,Kerala,Thrissur,Wave 1,Original,1398252,367,17,7,1,105,0,0,0,15,10.42,62.8
REC000084,2020-03-07,2020,March,Maharashtra,Mumbai,Wave 1,Original,4803258,1123,48,20,5,353,0,0,0,53,9.96,64.7
REC000085,2020-03-07,2020,March,Odisha,Sambalpur,Wave 1,Original,689238,190,8,3,1,49,0,0,0,7,10.0,64.0
REC000086,2020-03-07,2020,March,Punjab,Patiala,Wave 1,Original,1814915,447,18,8,1,135,0,0,0,20,10.19,64.6
REC000087,2020-03-07,2020,March,Telangana,Ramagundam,Wave 1,Original,918990,286,14,4,1,65,0,0,0,9,9.66,70.0
REC000088,2020-03-07,2020,March,Uttar Pradesh,Agra,Wave 1,Original,2147256,650,35,8,2,154,0,0,0,23,10.89,68.3
REC000089,2020-03-08,2020,March,Assam,Tezpur,Wave 1,Original,1782119,544,26,7,2,144,0,0,0,21,10.27,64.7
REC000090,2020-03-08,2020,March,Gujarat,Surat,Wave 1,Original,11448680,3171,143,54,10,913,0,0,0,137,9.85,61.8
REC000091,2020-03-08,2020,March,Kerala,Kannur,Wave 1,Original,514871,122,5,2,0,37,0,0,0,5,10.79,62.0
REC000092,2020-03-08,2020,March,Kerala,Thiruvananthapuram,Wave 1,Original,3351378,866,47,13,3,272,0,0,0,41,11.03,68.7
REC000093,2020-03-08,2020,March,Madhya Pradesh,Indore,Wave 1,Original,1740571,466,23,8,2,142,0,0,0,21,12.57,65.7
REC000094,2020-03-08,2020,March,Odisha,Bhubaneswar,Wave 1,Original,3693499,1158,59,17,3,300,0,0,0,45,11.82,63.5
REC000095,2020-03-08,2020,March,Tamil Nadu,Coimbatore,Wave 1,Original,1558957,438,24,7,1,125,0,0,0,18,10.97,66.9
REC000096,2020-03-08,2020,March,Tamil Nadu,Madurai,Wave 1,Original,1124345,320,16,5,1,93,0,0,0,14,12.42,62.3
REC000097,2020-03-08,2020,March,Telangana,Khammam,Wave 1,Original,2016557,479,24,8,2,165,0,0,0,24,11.68,58.1
REC000098,2020-03-08,2020,March,West Bengal,Bardhaman,Wave 1,Original,1629488,476,25,7,2,137,0,0,0,20,10.53,58.6
REC000099,2020-03-09,2020,March,Delhi,North Delhi,Wave 1,Original,1655262,396,18,9,2,147,0,0,0,22,11.05,67.6
REC000100,2020-03-09,2020,March,Gujarat,Rajkot,Wave 1,Original,1536995,361,19,9,2,128,0,0,0,19,10.62,63.3
REC000101,2020-03-09,2020,March,Haryana,Hisar,Wave 1,Original,1245200,373,17,6,1,107,0,0,0,16,11.26,62.3
REC000102,2020-03-09,2020,March,Haryana,Panipat,Wave 1,Original,537417,134,5,2,0,44,0,0,0,6,10.23,68.3
REC000103,2020-03-09,2020,March,Kerala,Kochi,Wave 1,Original,809029,210,9,3,1,66,0,0,0,9,10.72,67.2
REC000104,2020-03-09,2020,March,Kerala,Thiruvananthapuram,Wave 1,Original,3351378,1019,54,19,3,304,0,0,0,45,9.73,64.9
REC000105,2020-03-09,2020,March,Madhya Pradesh,Bhopal,Wave 1,Original,4767583,1187,62,23,5,416,0,0,0,62,11.29,66.2
REC000106,2020-03-09,2020,March,Madhya Pradesh,Gwalior,Wave 1,Original,2141517,563,28,9,2,187,0,0,0,28,10.36,62.9
REC000107,2020-03-09,2020,March,Madhya Pradesh,Ujjain,Wave 1,Original,1139530,353,15,6,1,104,0,0,0,15,11.77,59.9
REC000108,2020-03-09,2020,March,Maharashtra,Thane,Wave 1,Original,1179427,309,17,7,1,104,0,0,0,15,10.36,64.3
REC000109,2020-03-09,2020,March,Odisha,Bhubaneswar,Wave 1,Original,3693499,914,39,19,4,316,0,0,0,47,10.35,59.3
REC000110,2020-03-09,2020,March,Tamil Nadu,Trichy,Wave 1,Original,1880970,527,27,11,2,178,0,0,0,26,11.53,62.4
REC000111,2020-03-09,2020,March,Uttar Pradesh,Meerut,Wave 1,Original,1202237,355,18,5,1,100,0,0,0,15,11.57,66.7
REC000112,2020-03-09,2020,March,West Bengal,Howrah,Wave 1,Original,478846,128,6,2,1,44,0,0,0,6,11.45,68.2
REC000113,2020-03-10,2020,March,Bihar,Darbhanga,Wave 1,Original,994353,264,11,5,1,93,0,0,0,14,11.14,67.3
REC000114,2020-03-10,2020,March,Bihar,Muzaffarpur,Wave 1,Original,1256268,314,14,8,1,115,0,0,0,17,10.22,63.4
REC000115,2020-03-10,2020,March,Delhi,North Delhi,Wave 1,Original,1655262,387,16,8,2,153,0,0,0,23,10.96,63.7
REC000116,2020-03-10,2020,March,Madhya Pradesh,Gwalior,Wave 1,Original,2141517,602,33,10,2,208,0,0,0,31,12.64,65.0
REC000117,2020-03-10,2020,March,Maharashtra,Thane,Wave 1,Original,1179427,278,13,7,1,109,0,0,0,16,11.32,70.9
REC000118,2020-03-10,2020,March,Odisha,Puri,Wave 1,Original,1898820,466,21,12,2,175,0,0,0,26,11.91,62.6
REC000119,2020-03-10,2020,March,Punjab,Patiala,Wave 1,Original,1814915,502,27,11,2,174,0,0,0,26,12.08,66.7
REC000120,2020-03-10,2020,March,Rajasthan,Jodhpur,Wave 1,Original,1801090,425,23,11,2,173,0,0,0,26,9.73,64.3
REC000121,2020-03-10,2020,March,Telangana,Hyderabad,Wave 1,Original,7916950,2078,98,49,9,748,0,0,0,113,11.71,60.6
REC000122,2020-03-10,2020,March,Uttar Pradesh,Kanpur,Wave 1,Original,1038146,258,11,5,1,97,0,0,0,14,12.16,65.9
REC000123,2020-03-10,2020,March,West Bengal,Siliguri,Wave 1,Original,1738076,472,26,8,2,165,0,0,0,24,12.26,67.5
REC000124,2020-03-11,2020,March,Assam,Dibrugarh,Wave 1,Original,1660477,515,28,10,2,166,0,0,0,25,11.09,64.3
REC000125,2020-03-11,2020,March,Bihar,Gaya,Wave 1,Original,633858,191,8,4,1,60,0,0,0,9,11.12,65.6
REC000126,2020-03-11,2020,March,Bihar,Muzaffarpur,Wave 1,Original,1256268,372,17,8,1,123,0,0,0,18,9.68,64.5
REC000127,2020-03-11,2020,March,Gujarat,Surat,Wave 1,Original,11448680,3325,185,69,15,1188,0,0,0,179,12.75,61.6
REC000128,2020-03-11,2020,March,Karnataka,Mysuru,Wave 1,Original,1210694,318,14,6,1,120,0,0,0,18,9.61,68.2
REC000129,2020-03-11,2020,March,Kerala,Kollam,Wave 1,Original,1998201,569,24,14,3,208,0,0,0,31,10.54,61.4
REC000130,2020-03-11,2020,March,Kerala,Kozhikode,Wave 1,Original,565844,176,9,3,1,53,0,0,0,8,11.01,68.3
REC000131,2020-03-11,2020,March,Odisha,Puri,Wave 1,Original,1898820,461,20,11,2,182,0,0,0,27,10.77,63.0
REC000132,2020-03-11,2020,March,Punjab,Bathinda,Wave 1,Original,1323807,339,16,9,2,136,0,0,0,20,12.12,64.2
REC000133,2020-03-11,2020,March,Punjab,Ludhiana,Wave 1,Original,4207257,1086,60,29,6,441,0,0,0,66,11.27,66.0
REC000134,2020-03-11,2020,March,Rajasthan,Ajmer,Wave 1,Original,1055030,259,11,7,1,96,0,0,0,14,9.84,71.1
REC000135,2020-03-11,2020,March,Rajasthan,Udaipur,Wave 1,Original,1767818,537,22,10,2,179,0,0,0,27,11.94,65.3
REC000136,2020-03-11,2020,March,Tamil Nadu,Madurai,Wave 1,Original,1124345,266,13,7,2,109,0,0,0,16,9.61,65.0
REC000137,2020-03-11,2020,March,Telangana,Karimnagar,Wave 1,Original,1097461,258,14,6,1,106,0,0,0,16,9.98,67.1
REC000138,2020-03-11,2020,March,Uttar Pradesh,Lucknow,Wave 1,Original,4101568,1242,60,21,5,437,0,0,0,66,12.65,63.3
REC000139,2020-03-11,2020,March,Uttar Pradesh,Meerut,Wave 1,Original,1202237,365,16,7,1,118,0,0,0,17,11.8,62.8
REC000140,2020-03-11,2020,March,West Bengal,Siliguri,Wave 1,Original,1738076,480,21,12,2,172,0,0,0,26,9.81,65.1
REC000141,2020-03-12,2020,March,Assam,Nagaon,Wave 1,Original,1898067,545,30,10,3,206,0,0,0,31,10.37,66.8
REC000142,2020-03-12,2020,March,Gujarat,Ahmedabad,Wave 1,Original,11724621,2830,124,71,12,1173,0,0,0,177,10.29,64.6
REC000143,2020-03-12,2020,March,Gujarat,Jamnagar,Wave 1,Original,1764557,459,23,10,2,191,0,0,0,28,12.21,61.6
REC000144,2020-03-12,2020,March,Karnataka,Tumakuru,Wave 1,Original,2068176,495,27,15,3,212,0,0,0,32,10.12,70.3
REC000145,2020-03-12,2020,March,Madhya Pradesh,Gwalior,Wave 1,Original,2141517,514,28,14,2,229,0,0,0,34,12.55,65.6
REC000146,2020-03-12,2020,March,Maharashtra,Nagpur,Wave 1,Original,1578228,464,25,10,2,165,0,0,0,24,11.08,68.3
REC000147,2020-03-12,2020,March,Rajasthan,Kota,Wave 1,Original,750349,220,9,4,1,73,0,0,0,11,11.08,68.3
REC000148,2020-03-12,2020,March,Rajasthan,Udaipur,Wave 1,Original,1767818,494,25,10,3,191,0,0,0,28,11.78,69.0
REC000149,2020-03-12,2020,March,Telangana,Khammam,Wave 1,Original,2016557,594,25,16,3,223,0,0,0,33,11.19,65.0
REC000150,2020-03-12,2020,March,Uttar Pradesh,Prayagraj,Wave 1,Original,2007618,608,31,12,2,232,0,0,0,35,12.0,58.0
REC000151,2020-03-13,2020,March,Assam,Silchar,Wave 1,Original,575007,159,9,3,1,65,0,0,0,9,12.59,64.8
REC000152,2020-03-13,2020,March,Delhi,New Delhi,Wave 1,Original,4773510,1486,76,39,6,579,0,0,0,87,11.21,66.0
REC000153,2020-03-13,2020,March,Gujarat,Ahmedabad,Wave 1,Original,11724621,2862,148,84,17,1220,0,0,0,184,9.78,67.9
REC000154,2020-03-13,2020,March,Karnataka,Belagavi,Wave 1,Original,1300633,366,19,8,2,148,0,0,0,22,10.25,67.8
REC000155,2020-03-13,2020,March,Kerala,Thrissur,Wave 1,Original,1398252,435,21,11,2,162,0,0,0,24,12.38,67.8
REC000156,2020-03-13,2020,March,Madhya Pradesh,Ujjain,Wave 1,Original,1139530,298,14,8,2,125,0,0,0,18,10.8,62.9
REC000157,2020-03-13,2020,March,Rajasthan,Jodhpur,Wave 1,Original,1801090,430,18,14,2,201,0,0,0,30,11.53,59.4
REC000158,2020-03-13,2020,March,Tamil Nadu,Tirunelveli,Wave 1,Original,1198145,345,16,9,2,131,0,0,0,19,10.63,63.9
REC000159,2020-03-13,2020,March,Telangana,Nizamabad,Wave 1,Original,1915045,596,30,14,3,232,0,0,0,35,10.16,63.5
REC000160,2020-03-13,2020,March,West Bengal,Asansol,Wave 1,Original,677721,161,8,4,1,71,0,0,0,10,11.94,67.7
REC000161,2020-03-13,2020,March,West Bengal,Howrah,Wave 1,Original,478846,113,4,3,1,51,0,0,0,7,12.24,61.1
REC000162,2020-03-14,2020,March,Assam,Nagaon,Wave 1,Original,1898067,542,27,15,3,219,0,0,0,33,11.28,67.8
REC000163,2020-03-14,2020,March,Delhi,New Delhi,Wave 1,Original,4773510,1437,77,40,8,608,0,0,0,92,9.63,61.8
REC000164,2020-03-14,2020,March,Delhi,North Delhi,Wave 1,Original,1655262,424,23,13,2,192,0,0,0,29,10.54,59.9
REC000165,2020-03-14,2020,March,Delhi,South Delhi,Wave 1,Original,762645,230,12,6,1,91,0,0,0,13,12.43,68.8
REC000166,2020-03-14,2020,March,Haryana,Gurugram,Wave 1,Original,4716607,1446,78,34,7,532,0,0,0,80,9.96,66.3
REC000167,2020-03-14,2020,March,Karnataka,Mangaluru,Wave 1,Original,1067436,299,14,8,1,120,0,0,0,18,12.31,66.5
REC000168,2020-03-14,2020,March,Kerala,Kochi,Wave 1,Original,809029,245,11,5,1,94,0,0,0,14,11.56,63.0
REC000169,2020-03-14,2020,March,Kerala,Kollam,Wave 1,Original,1998201,583,30,12,3,248,0,0,0,37,10.56,63.9
REC000170,2020-03-14,2020,March,Kerala,Kozhikode,Wave 1,Original,565844,146,7,3,1,59,0,0,0,8,10.22,63.4
REC000171,2020-03-14,2020,March,Kerala,Thiruvananthapuram,Wave 1,Original,3351378,787,39,21,6,398,0,0,0,60,10.6,62.6
REC000172,2020-03-14,2020,March,Madhya Pradesh,Bhopal,Wave 1,Original,4767583,1432,62,31,6,568,0,0,0,86,9.53,63.2
REC000173,2020-03-14,2020,March,Madhya Pradesh,Sagar,Wave 1,Original,986485,285,14,7,1,116,0,0,0,17,12.22,66.6
REC000174,2020-03-14,2020,March,Maharashtra,Aurangabad,Wave 1,Original,1945476,479,26,16,3,228,0,0,0,34,12.53,66.8
REC000175,2020-03-14,2020,March,Maharashtra,Thane,Wave 1,Original,1179427,333,18,8,1,140,0,0,0,21,12.39,64.5
REC000176,2020-03-14,2020,March,Odisha,Sambalpur,Wave 1,Original,689238,211,10,4,1,75,0,0,0,11,11.2,66.1
REC000177,2020-03-14,2020,March,Telangana,Khammam,Wave 1,Original,2016557,637,28,16,4,238,0,0,0,36,9.51,53.9
REC000178,2020-03-14,2020,March,Uttar Pradesh,Lucknow,Wave 1,Original,4101568,1057,51,28,7,497,0,0,0,75,10.83,62.0
REC000179,2020-03-14,2020,March,Uttar Pradesh,Prayagraj,Wave 1,Original,2007618,619,30,13,4,259,0,0,0,39,10.99,68.0
REC000180,2020-03-15,2020,March,Assam,Dibrugarh,Wave 1,Original,1660477,432,20,12,2,197,0,0,0,29,12.19,62.0
REC000181,2020-03-15,2020,March,Assam,Silchar,Wave 1,Original,575007,180,9,5,1,70,0,0,0,10,11.36,66.1
REC000182,2020-03-15,2020,March,Bihar,Muzaffarpur,Wave 1,Original,1256268,311,13,9,2,143,0,0,0,21,10.82,66.3
REC000183,2020-03-15,2020,March,Delhi,Central Delhi,Wave 1,Original,2156120,532,24,14,4,255,0,0,0,38,9.78,59.1
REC000184,2020-03-15,2020,March,Delhi,South Delhi,Wave 1,Original,762645,196,8,7,1,91,0,0,0,13,10.56,64.9
REC000185,2020-03-15,2020,March,Karnataka,Bengaluru Urban,Wave 1,Original,11557734,3233,155,79,20,1394,0,0,0,211,10.34,64.8
REC000186,2020-03-15,2020,March,Karnataka,Mysuru,Wave 1,Original,1210694,291,14,10,1,137,0,0,0,20,11.71,69.1
REC000187,2020-03-15,2020,March,Madhya Pradesh,Gwalior,Wave 1,Original,2141517,556,25,16,3,249,0,0,0,37,11.62,64.4
REC000188,2020-03-15,2020,March,Odisha,Rourkela,Wave 1,Original,2092550,538,23,15,3,242,0,0,0,36,9.8,59.0
REC000189,2020-03-15,2020,March,Punjab,Patiala,Wave 1,Original,1814915,430,19,14,3,215,0,0,0,32,11.12,62.0
REC000190,2020-03-15,2020,March,Rajasthan,Udaipur,Wave 1,Original,1767818,436,18,16,3,218,0,0,0,33,12.0,68.2
REC000191,2020-03-15,2020,March,Tamil Nadu,Chennai,Wave 1,Original,11034107,3193,136,82,14,1321,0,0,0,200,9.97,62.7
REC000192,2020-03-15,2020,March,West Bengal,Howrah,Wave 1,Original,478846,113,5,3,1,55,0,0,0,8,11.69,61.2
REC000193,2020-03-16,2020,March,Assam,Silchar,Wave 1,Original,575007,167,9,5,1,73,0,0,0,11,10.81,64.3
REC000194,2020-03-16,2020,March,Delhi,South Delhi,Wave 1,Original,762645,243,11,7,1,94,0,0,0,14,10.75,64.1
REC000195,2020-03-16,2020,March,Delhi,West Delhi,Wave 1,Original,1347662,382,18,11,2,178,0,0,0,27,9.9,63.6
REC000196,2020-03-16,2020,March,Gujarat,Jamnagar,Wave 1,Original,1764557,512,23,15,3,219,0,0,0,33,12.55,63.5
REC000197,2020-03-16,2020,March,Karnataka,Hubballi,Wave 1,Original,728589,205,11,4,1,90,0,0,0,13,12.33,58.8
REC000198,2020-03-16,2020,March,Karnataka,Mangaluru,Wave 1,Original,1067436,279,13,8,2,130,0,0,0,19,11.93,64.2
REC000199,2020-03-16,2020,March,Madhya Pradesh,Gwalior,Wave 1,Original,2141517,617,31,18,3,259,0,0,0,39,11.85,68.5
REC000200,2020-03-16,2020,March,Maharashtra,Pune,Wave 1,Original,10965604,2599,118,76,17,1410,0,0,0,214,9.58,66.3
